,actor_learning_rate,critic_1_learning_rate,critic_2_learning_rate,mean_score
0,0.01,0.01,0.01,-1168.8730820254625
1,0.01,0.01,0.005,-1180.5894721415225
2,0.01,0.01,0.001,-1246.3972198951044
3,0.01,0.005,0.01,-966.8584475783338
4,0.01,0.005,0.005,-1033.8605370091118
5,0.01,0.005,0.001,-1180.133841214389
6,0.01,0.001,0.01,-1116.3114250916044
7,0.01,0.001,0.005,-1130.8316852048356
8,0.01,0.001,0.001,-1414.0761273802382
9,0.005,0.01,0.01,-326.76353070221904
10,0.005,0.01,0.005,-392.7178030354192
11,0.005,0.01,0.001,-664.8303253050881
12,0.005,0.005,0.01,-314.2308415035164
13,0.005,0.005,0.005,-699.3003305886442
14,0.005,0.005,0.001,-259.5628789825155
15,0.005,0.001,0.01,-1117.2671560042306
16,0.005,0.001,0.005,-684.2184383364311
17,0.005,0.001,0.001,-1050.1382808708506
18,0.001,0.01,0.01,-195.85218939057904
19,0.001,0.01,0.005,-270.25044792174873
20,0.001,0.01,0.001,-282.7533824681539
21,0.001,0.005,0.01,-308.91160746455546
22,0.001,0.005,0.005,-205.86628851292593
23,0.001,0.005,0.001,-220.5065232883754
24,0.001,0.001,0.01,-307.4699616484695
25,0.001,0.001,0.005,-270.3018263070969
26,0.001,0.001,0.001,-244.64174523567672
